ТИП	НАЗВАНИЕ	ИДЕНТИФИКАТОР (для channels.json)	ВНУТРЕННИЙ ID
канал	FOMO.NET	-1002434848395	-1002434848395
канал	GTE Инвестиции	t.me/gte_investments	-1001877166985
канал	Viktor Trade (Crypto,Stock,Forex,Metal)	-1001176027336	-1001176027336
канал	Bronks	-1002299472379	-1002299472379
канал	Budka | Trade	-1002638760394	-1002638760394
канал	World signals	-1002661907751	-1002661907751
супергруппа	BLAGO SQUAD	-1002008549614	-1002008549614
канал	АЛЬТ || БЕРЛОГА	t.me/altbearcrypto	-1002540899151
канал	Нестеров МАРАФОН!	-1003310192020	-1003310192020
супергруппа	Moon&Sun	-1002720570490	-1002720570490
канал	MANIPULATOR	-1002464197222	-1002464197222
канал	SIRIUS TRADE	-1001824217401	-1001824217401
канал	Кондитерская	-1002546910529	-1002546910529
канал	Леонардо Дайвинчик	t.me/leoday	-1001124946559
канал	британский студент	-1002045182850	-1002045182850
супергруппа	XScreener	t.me/XScreener_Info	-1003779161417
канал	биржевой спекулянт	t.me/speculyantt	-1002005861429
канал	тимофей — наставник	-1002108673713	-1002108673713
канал	FOMA TRADE	-1001578597359	-1001578597359
канал	Сплетница	t.me/spletnicca	-1001287596810
канал	Клуб Романа Златова	-1002386647336	-1002386647336
канал	The Indicator	-1001978443540	-1001978443540
канал	Bryan | Crypto blog	-1002578286215	-1002578286215
супергруппа	To the Moon - Chat	-1002162539963	-1002162539963
канал	КРИПТОЧАЙ	t.me/icryptotea	-1002197663668
канал	Точка FOMO	-1003423412876	-1003423412876
канал	Стратегия Фадеева	-1002776268892	-1002776268892
канал	Lúna | ICT	-1002588429339	-1002588429339
канал	Money Crypto [VIP]	-1002616614701	-1002616614701
канал	Trade Invest [VIP]	-1002444610430	-1002444610430
канал	KARATOFF - НЕЙРОТРЕЙД	-1001875573141	-1001875573141
канал	VALERIY LONG/SHORT	-1002204017804	-1002204017804
канал	Паша Раздал	-1002186361028	-1002186361028
канал	7 грехов трейдера	-1002745025415	-1002745025415
канал	Рыночные Отношения	-1002078572982	-1002078572982
канал	Нектарный Рынок	-1002692668562	-1002692668562
канал	Yan Verbin | Community	-1001750481595	-1001750481595
канал	To The Sun	t.me/sunriseout	-1002276123253
канал	Блог Родиона | Crypto	-1002206290082	-1002206290082
канал	Трейдер [Лукас]	-1002326908942	-1002326908942
канал	Костя VIP Марафон	-1002649691806	-1002649691806
канал	Мысли Вайкоффа	t.me/wyckoff_company	-1001546754435
канал	Сценарист	-1002771820187	-1002771820187
канал	PUMP IT	-1002217864979	-1002217864979
канал	На Заборе	-1002929274533	-1002929274533
канал	Бегущий по свечам	-1002209560463	-1002209560463
канал	CRYPTO BOSS	-1002341250961	-1002341250961
канал	Мысли Бориса	-1002677176346	-1002677176346
канал	Скальпер	-1002027900245	-1002027900245
канал	PIXEL	-1002106424484	-1002106424484
канал	Преступления финансовой Элиты	-1002689064750	-1002689064750
канал	Канал о инвестициях 💵	-1001782144910	-1001782144910
супергруппа	ЗИМА	-1003482779374	-1003482779374
канал	Джо	-1001991955263	-1001991955263
канал	Шеф Наставник [Кирилл]	-1002084559017	-1002084559017
канал	ALEX FINN	-1002175735660	-1002175735660
канал	CAZADOR	-1001493720845	-1001493720845
канал	Шепчущий Трейдер	-1003361943895	-1003361943895
канал	ENOT TRADE | Crypto	-1002096150834	-1002096150834
канал	Непосредственно трейдер	-1002077454130	-1002077454130
канал	Coin Post – Деньги, инвестиции, биткоин	t.me/Coin_Post	-1001132611527
канал	TON Эликсир	t.me/TON_Elixir	-1002001813095
канал	To the moon | crypt.	-1002242929354	-1002242929354
канал	Lamba Trade	-1001792726858	-1001792726858
канал	KostyaKogan	-1002160678345	-1002160678345
канал	Lamba с нуля	t.me/lamba_zero	-1001167416522
канал	TOKO NEWSNO	-1001920755124	-1001920755124
канал	Простые Инвестиции	-1001798903829	-1001798903829
канал	Binance Killers [VIP]	-1003370920823	-1003370920823
канал	Больше, чем экономика	t.me/economylive	-1001425338344
канал	Мысли Эйнштейна	-1003846410771	-1003846410771
канал	МАТЕШЕВ | Мастерская Трейдинга	t.me/masterskay_mateshev	-1001687044747
канал	Марафон By Николай 💬	-1002850630964	-1002850630964
канал	MIKO TRADE	-1001635146744	-1001635146744
канал	Профит будет.	-1001787033206	-1001787033206
канал	Solomon Trading	-1002296393001	-1002296393001
канал	NeoTrading	-1002145113664	-1002145113664
канал	МАРК РИСК📈	-1001713610894	-1001713610894
канал	Crypto▫️Man💎	-1001630692598	-1001630692598
канал	ERMOLOV [TRADING]	-1001990355474	-1001990355474
канал	Торговый Букваръ	-1002000727116	-1002000727116
канал	Теория Вероятностей | TT	-1001700967192	-1001700967192
канал	Андрей Андреевич | Pump AI Crypto	-1003141219164	-1003141219164
канал	Душевный трейдинг	t.me/dushevny_trading	-1001471435553
канал	Из Грязи В Князи	-1002416522532	-1002416522532
канал	Максим Борман | Crypto	-1002425669232	-1002425669232
канал	убийцы рынка	-1002488924018	-1002488924018
канал	COINNEWS	-1001942218573	-1001942218573
канал	Whale Trade🐋 | Данил Ткачев	-1002186855456	-1002186855456
канал	Твой Наставник | BTC	-1001915990589	-1001915990589
канал	Ivan Medvedev	-1001644656268	-1001644656268
канал	Артём Звёздин - обучение трейдингу	t.me/uiartemzvezdin	-1001496366574
канал	Crypto Falcon	t.me/falconinvestors	-1001775749622
канал	Хайдар Сабиев | Крипто Инсайдер	-1001577682096	-1001577682096
канал	VilarsoFREE |CryptoTrading ¹⁸⁺	t.me/vilarsofree	-1001353204059
канал	PIXEL [VIP]	-1003248776575	-1003248776575
канал	АЛЬТАДОР	t.me/AltadorWT	-1002037215613
канал	Crypto || Lady 👩🏻‍💻	-1001795905023	-1001795905023
канал	ФИЛ ТОРГУЕТ	-1002222071903	-1002222071903
канал	ДЕНЕЖНАЯ 👩‍💻 LIVE	t.me/denejnayaLIVE	-1002120755921
канал	4ch	-1001967505770	-1001967505770
канал	Den: Trading by AI	-1002445127467	-1002445127467
канал	Crypto Futures [Signal]	-1001772115937	-1001772115937
канал	Крипто Хулиганы🏴‍☠️	t.me/crypto_hyligany	-1001517199518
канал	КриптоБош	t.me/cryptobosh	-1001607709756
канал	Эмиль Панахов | IN CRYPTO WE TRUST	t.me/invest_crypto_defi	-1002069437599
канал	Crypto world	-1001513480583	-1001513480583
канал	Хитров, в ресурсе!	-1002391348397	-1002391348397
канал	Прометей	-1002117839753	-1002117839753
канал	🔹AI Трейдинг Крипта | Анализ + Сигналы | BuySellStyle AIHermes	t.me/buysellstyle	-1001581847589
канал	Вкус Крипты | Trading	-1002254247133	-1002254247133
канал	Trade by Booba	t.me/trade_by_booba	-1001274523805
канал	АНДРЕЙ, КОГДА ИКСЫ?	-1001071861190	-1001071861190
канал	INVEST ZONE | Khairullin Ruslan	t.me/invest_zonaa	-1001288238074
супергруппа	SIMPLE CRYPTO [VIP]	-1003460798796	-1003460798796
супергруппа	Trade_Soul | Public Chat	-1001247935507	-1001247935507
канал	Trade_Soul	-1001153542953	-1001153542953
канал	LOFI | CRYPTO	-1002078445251	-1002078445251
канал	Inv Trading	-1001241942837	-1001241942837
канал	ректуемся с катаной	t.me/rektkatana	-1002169136923
канал	Invest Assistance	-1001746416885	-1001746416885
канал	TON AirDrops💎	t.me/xRocket_cheques_ton	-1002014726447
канал	Trending Apps	-1001967795413	-1001967795413
канал	Главный по Крипте	t.me/CryptoChiefcom	-1001292249032
канал	Друг Франклина	-1002623152683	-1002623152683
канал	«ПАВЛОВ»	-1001993254262	-1001993254262
канал	OREL TRADE 🦅	-1002347958673	-1002347958673
канал	Марафон | MG	-1002172869172	-1002172869172
канал	Михалыч [VIP]	-1003345696524	-1003345696524
канал	Litvinoff	-1001344723295	-1001344723295
канал	Traid Invest	-1001488285421	-1001488285421
канал	CRYPTO MIRACLE	t.me/crypto_miracle01	-1001341921315
канал	Антон Косматов | Алготрейд	-1001877806179	-1001877806179
канал	BIG TRADER	-1001600915190	-1001600915190
канал	Romantic	-1001892565016	-1001892565016
канал	Хайдар Сабиев [VIP]	-1002303892263	-1002303892263
канал	Roman Robertovich	-1002254922481	-1002254922481
канал	Клиент всегда прав	t.me/klientvsprav	-1001825788106
канал	Криптомнения	t.me/Crypto_Opinions	-1002385347235
канал	Invest Era	t.me/usamarke1	-1001345338250
канал	SerCrypto	t.me/SerCryptoSC	-1001697419381
канал	ВИЗИОНЕР 🎴	-1002266113231	-1002266113231
канал	Crypto Alliance | Мартин	-1001195973120	-1001195973120
канал	katana	-1002402317251	-1002402317251
канал	Юлия ПАМП/ДАМП	-1002242547726	-1002242547726
канал	Просто о сложном	t.me/prosto_kripto	-1001244865539
супергруппа	LM & Кот | Клуб трейдеров	t.me/LM_Kot_v_Shapochke	-1002933842621
канал	SOM | trader 📈🎄	-1002265947069	-1002265947069
канал	katana	-1002012563662	-1002012563662
канал	Big Trader [VIP]	-1003487803048	-1003487803048
канал	Блог 🐳 Давид Ткачев	-1002260492430	-1002260492430
канал	CRYPTO HABIK	-1002990926454	-1002990926454
канал	MarAI Free Crypto Signals	t.me/cryptosignalsmarai	-1003597895122
канал	Лёха в Short’ах Long’ует	t.me/team_krm	-1001948217605
канал	Crypto Capital	-1001235145681	-1001235145681
канал	Veles.Finance RU	t.me/VelesFinanceRu	-1001553736820
канал	Real Trade [VIP]	-1002468073231	-1002468073231
канал	GOAT TRADING	-1002224581920	-1002224581920
канал	сансара катаны	-1002133701647	-1002133701647
канал	Anton Kosmatov | FUNDED TRADER	-1002473450523	-1002473450523
канал	speculanttt	-1002002299087	-1002002299087
канал	Blog CryptoJuke	t.me/CryptoJuketrade	-1001867981813
канал	BCUSA [VIP]	-1002432187913	-1002432187913
канал	Макс для Народа	-1001958394393	-1001958394393
канал	𝐔𝐋𝐓𝐑𝐀 | ᴛʀᴀᴅɪɴɢ 📈💲	-1001320215252	-1001320215252
канал	CoinSignals [VIP]	-1002341388700	-1002341388700
канал	SMT Traderrr	-1003470606046	-1003470606046
канал	Gerchik Trading Ecosystem	t.me/AlexanderGerchik	-1001144638024
канал	SIMPLE CRYPTO	-1001392526699	-1001392526699
канал	Market View	-1001866690835	-1001866690835
канал	ЛУДОМАНИЯ 🎰	t.me/ludoman_tw	-1002147342741
супергруппа	Dashi Ориентир [VIP]	-1003277653527	-1003277653527
канал	Ростислав Dept	t.me/rostislav_dept	-1002214318910
канал	Dyad1ka📊👨‍💻	-1001881080094	-1001881080094
канал	SWEET CRYPTO	-1001978757587	-1001978757587
супергруппа	AltCentr	-1001574940403	-1001574940403
канал	ОКО ИНВЕСТОРОВ 👁️	-1002168373731	-1002168373731
канал	Концепт ICT	-1002387271459	-1002387271459
канал	Elliz Live	-1001165494181	-1001165494181
канал	GET IN CRYPTO | Дмитрий Коновалов	-1001625525614	-1001625525614
канал	реинкарнация катаны	t.me/rkmcrypto13	-1001961266885
канал	CryptoRait	t.me/cryptorait	-1001604226626
канал	Sancho DT	-1002444783355	-1002444783355
супергруппа	Чат миллионеров	t.me/chat_millions	-1002300352274
канал	Александр Герчик [VIP]	-1003398340680	-1003398340680
канал	JewTrade | Вадим Садовский	t.me/JewTrade_Official	-1001265767587
канал	CryptoZone	-1002245628193	-1002245628193
канал	Nexus Trade	-1002391072585	-1002391072585
канал	2Trade - Kirill Sobolev	-1001939888914	-1001939888914
канал	Словарь | трейдинга	-1002284567975	-1002284567975
канал	ВОСХОД | TRADING	-1001552421188	-1001552421188
канал	Dragon Trading	-1001786890551	-1001786890551
канал	KRIPTOLOL | Заработок на инвестициях и криптовалюте	t.me/airolejon	-1001187648471
супергруппа	СЛИВ VIP каналов	-1002881835504	-1002881835504
канал	Diver Cryptorg	t.me/DiverCryptorg	-1001156183877
канал	Крипта (деньги)	t.me/Kriptamoney	-1001125779212
канал	𝗞𝗢𝗟𝗣𝗜𝗡 | 𝗜𝗡 𝗖𝗥𝗬𝗣𝗧𝗢	-1002167386298	-1002167386298
супергруппа	BIG INTENSIVE	-1003703328089	-1003703328089
канал	Профессор Клинков	t.me/professorklinkov	-1001435570463
канал	SoloTrade — Команда Трейдеров	t.me/solotradings	-1001291483806
супергруппа	Power Wheels. Диски для Audi.	-1002409924557	-1002409924557
канал	Trading Volium	-1001962837464	-1001962837464
канал	Трейдинг в благости - Игорь Павленко	t.me/blagotrading	-1001417620632
канал	Ton Cryptans	t.me/toncryptans	-1002059605682
супергруппа	katana 📚	t.me/kkslivkk	-1002264215332
канал	Lemon Whale	t.me/Whale_Lemon	-1001894259128
канал	TITOFF	-1001264469893	-1001264469893
канал	polina eth	-1001500911313	-1001500911313
канал	Фишер // Room 404	-1002432976425	-1002432976425
канал	ANTIHYIP Trade. Управление капиталом💵💴💶💷	t.me/EatFutures	-1001577567036
канал	CRYPTO PULSE | Основы торговли	-1002355126024	-1002355126024
канал	Let’s Focus Trade ©	t.me/LetsFocusTrade	-1001821715831
супергруппа	HAMAHA [VIP]	-1002966646849	-1002966646849
канал	Forex Trade Wt 📈	-1001711204716	-1001711204716
канал	Валерий Зарудний ✨ Трейдинг	t.me/zarudnytrade	-1001336446774
канал	Алексей Руденко [VIP]	-1003472259503	-1003472259503
канал	Eldorado [Trade]	-1002160431550	-1002160431550
канал	Futures [VIP]	-1003151440171	-1003151440171
канал	Dobrunia trader	t.me/dobruniatrader	-1001617566716
канал	Shaurma [VIP]	-1003472054046	-1003472054046
канал	Vip Signal (Марафон х10)	-1001963123370	-1001963123370
канал	Старший (@sniperusdt)	-1002275086698	-1002275086698
канал	Doctor Baks	t.me/doctorbaks	-1002104121995
канал	Герман на блокчейне [VIP]	-1002331544460	-1002331544460
канал	Scalping Blog	-1003505891584	-1003505891584
канал	Шеф Пиратович	-1001700979910	-1001700979910
канал	Pursuit4Million|Андрей Соболев	-1001144695647	-1001144695647
канал	Pifagor Среднесрок [VIP]	-1003742069673	-1003742069673
канал	Алексей Гудов | GudEx Crypto	t.me/crypto_gudov	-1001356740345
канал	Trading Time	t.me/TTinvestment	-1001333032827
канал	Дневник Скальпера	-1003131786123	-1003131786123
канал	Прометей PLATINUM	-1002006724707	-1002006724707
канал	SANCHO D.T.	t.me/SANCHO_DT	-1001417365466
канал	Благословенный	-1002388493793	-1002388493793
канал	Проп-трейдер | Hash Hedge	-1002625339168	-1002625339168
канал	Traffic.one Academy	-1002772562168	-1002772562168
канал	Go Trade	t.me/GoTrade_Telegram	-1001284389895
канал	Mr Mozart	-1001290061428	-1001290061428
канал	Козырный | CRYPTO	t.me/TcardCRYPTO	-1001523031386
канал	Ладесов | Инвест логово	-1001960023952	-1001960023952
канал	Гагарин ®	-1002140668972	-1002140668972
канал	2Trade Live / Kirill Sobolev	-1002669875825	-1002669875825
канал	Crypto Juke [VIP]	-1003402262579	-1003402262579
супергруппа	Pixel Intensive	-1003347714081	-1003347714081
канал	— Хрусталев, Жги!	-1002166739292	-1002166739292
канал	Egor casper | trade	-1002056741585	-1002056741585
канал	Morzh	t.me/morzhkripto	-1001529839614
канал	Дмитрий Щукин | Crypto Trading	t.me/dmitry_shukin	-1001570072785
канал	Вавилон	-1002483454547	-1002483454547
канал	Lazy Trader	-1002816935467	-1002816935467
супергруппа	CRYPTO VANGA CHAT	-1002197907036	-1002197907036
канал	Теория Вероятностей [VIP]	-1003204959769	-1003204959769
канал	TraderSTI	-1001121853224	-1001121853224
канал	СКАЛЬПУ БЫТЬ! | ПАВЛОВ	-1003745333029	-1003745333029
канал	EVEREST🏔TRADE	-1001817625686	-1001817625686
канал	Crypto | Azam	t.me/crypto_azam	-1001153086394
канал	Лесенка «50 иксов»	-1003017622610	-1003017622610
канал	СЛИВА	t.me/education_com_666	-1002225810250
канал	Crypto Juke Обучение	-1003848633336	-1003848633336
группа	МЕГА || БЕРЛОГА || МАРТ	-5295177737	-5295177737
канал	Диалог с Трейдером	-1002713083989	-1002713083989
канал	WorkShop | БЕСПЛАТНО	t.me/sliv_pirate	-1002520736009
канал	Тихая грань	-1002708655238	-1002708655238
канал	CryptoGrad	-1001591264082	-1001591264082
канал	BIG SHORT	-1002539892326	-1002539892326
канал	Dark Trade | Торгуем из тени	-1002780275533	-1002780275533
канал	Harry Houdini	-1003018559549	-1003018559549
канал	To The Moon | Trading | Signal	-1002437784721	-1002437784721
канал	Scalp Arena	-1002224319039	-1002224319039
супергруппа	KONDRATIEV | TRADE	-1002208664626	-1002208664626
канал	CRYPTO VANGA 2.0	-1002665585653	-1002665585653
канал	Invest Zone [VIP]	-1003351227845	-1003351227845
канал	Билл [Day Trader]	-1002265596935	-1002265596935
канал	Мыслитель	-1002811079379	-1002811079379
супергруппа	Семейный Чат | Колпин	-1003319049348	-1003319049348
канал	CRYPTOGRAD [VIP]	-1002593683878	-1002593683878
супергруппа	МЕГА || БЕРЛОГА	-1003364863635	-1003364863635
канал	©️Скрытая динамика	-1002578769483	-1002578769483
канал	📌 ВАЖНОЕ 📌	-1003363397751	-1003363397751
супергруппа	Trading Club [Обучения]	-1003140591983	-1003140591983
канал	Cryptomannn Обучение	-1003641434449	-1003641434449
канал	Герчик Обучение	-1003671061741	-1003671061741
канал	Dark Trader Обучение	-1003655261145	-1003655261145
супергруппа	Интра 2.0 (Мысли Вайкоффа)	t.me/waykoff_free	-1001954750316
канал	Altador_BOT	-1002883802223	-1002883802223
канал	ОБУЧЕНИЕ/ОБЩЕНИЕ	-1002754538419	-1002754538419
канал	SANCHO D.T.	t.me/SANCHO_DTSLIV1	-1002324419031
канал	Путь Трейдера [4 Статьи]	t.me/Put_Treydera1	-1002518675791
супергруппа	NO	-1003028507264	-1003028507264
канал	Константин Коновалов | Мои сделки	-1002433508578	-1002433508578
канал	VANGA NIGHT	-1002566943928	-1002566943928
канал	Trade By Booba - Daily	t.me/trade_by_booba_2025	-1002121256461
супергруппа	Signal AI	-1002380180742	-1002380180742
канал	Binance Killer [VIP]	-1002538123750	-1002538123750
супергруппа	VANGA PREMIUM Chat	-1002555097477	-1002555097477
канал	VANGA PREMIUM	-1002526359273	-1002526359273
канал	Марафон х100 Виталия	-1002618320031	-1002618320031
канал	SS Копитрейдинг	-1002348195803	-1002348195803
канал	Pentagon Обучение	-1002866000628	-1002866000628
супергруппа	Chat Ctypto Muse AI	-1002650385978	-1002650385978
канал	Ctypto Muse AI	-1002580487096	-1002580487096
канал	Block13 Обучение	-1002286285809	-1002286285809
канал	Smart Money [8 уроков]	-1002802704498	-1002802704498
канал	Prometey Capital	-1002335360996	-1002335360996
канал	Big Trader [Обучение]	-1002406690059	-1002406690059
канал	Иструкция по копитрейдингу	-1002687447308	-1002687447308
канал	Подарок от Артемия	-1002502749943	-1002502749943
канал	Торговая сессия INVEX 1.0	-1002623552634	-1002623552634
группа	1.2.3	-4679199097	-4679199097
канал	Одиссей [Обучение]	-1002315117081	-1002315117081
канал	курсы от убийц	-1002024784306	-1002024784306
канал	КРИПТОАРХИВ	-1001523903462	-1001523903462
